[2024-12-04 11:09:30,312] [INFO] [real_accelerator.py:219:get_accelerator] Setting ds_accelerator to cuda (auto detect)
2024-12-04 11:09:38 | INFO | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/os.py | args: Namespace(host='0.0.0.0', port=20003, worker_address='auto', controller_address='http://SH-IDCA1404-10-140-54-5:20001', model_path='/mnt/petrelfs/songmingyang/songmingyang/model/tool-augment/groundingdino/groundingdino_swint_ogc.pth', model_config='/mnt/petrelfs/songmingyang/code/reasoning/tool-agent/LLaVA-Plus-Codebase/dependencies/GroundingDINO/groundingdino/config/GroundingDINO_SwinT_OGC.py', model_names=['grounding_dino'], device='cuda', limit_model_concurrency=5, stream_interval=2, no_register=False)
2024-12-04 11:09:38 | INFO | stdout | SLURM Node Name: SH-IDCA1404-10-140-54-108
2024-12-04 11:09:38 | INFO | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/os.py | Loading the model ['grounding_dino'] on worker df687c ...
2024-12-04 11:09:38 | ERROR | stderr | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343995026/work/aten/src/ATen/native/TensorShape.cpp:3483.)
2024-12-04 11:09:38 | ERROR | stderr |   return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
2024-12-04 11:09:38 | INFO | stdout | final text_encoder_type: bert-base-uncased
2024-12-04 11:09:38 | ERROR | stderr | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/site-packages/huggingface_hub/file_download.py:797: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
2024-12-04 11:09:38 | ERROR | stderr |   warnings.warn(
2024-12-04 11:10:02 | INFO | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/os.py | Register to controller
2024-12-04 11:10:02 | ERROR | stderr | INFO:     Started server process [58483]
2024-12-04 11:10:02 | ERROR | stderr | INFO:     Waiting for application startup.
2024-12-04 11:10:02 | ERROR | stderr | INFO:     Application startup complete.
2024-12-04 11:10:02 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:20003 (Press CTRL+C to quit)
2024-12-04 11:10:20 | INFO | stdout | INFO:     10.140.54.5:45342 - "POST /worker_get_status HTTP/1.1" 200 OK
2024-12-04 11:10:23 | INFO | stdout | INFO:     10.140.54.5:45354 - "POST /worker_get_status HTTP/1.1" 200 OK
2024-12-04 11:10:47 | INFO | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/os.py | Send heart beat. Models: ['grounding_dino']. Semaphore: None. global_counter: 0. worker_id: df687c. 
2024-12-04 11:11:32 | INFO | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/os.py | Send heart beat. Models: ['grounding_dino']. Semaphore: None. global_counter: 0. worker_id: df687c. 
2024-12-04 11:12:17 | INFO | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/os.py | Send heart beat. Models: ['grounding_dino']. Semaphore: None. global_counter: 0. worker_id: df687c. 
2024-12-04 11:13:02 | INFO | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/os.py | Send heart beat. Models: ['grounding_dino']. Semaphore: None. global_counter: 0. worker_id: df687c. 
2024-12-04 11:13:19 | INFO | stdout | INFO:     10.140.54.5:45436 - "POST /worker_get_status HTTP/1.1" 200 OK
2024-12-04 11:13:19 | ERROR | stderr | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/site-packages/transformers/modeling_utils.py:881: FutureWarning: The `device` argument is deprecated and will be removed in v5 of Transformers.
2024-12-04 11:13:19 | ERROR | stderr |   warnings.warn(
2024-12-04 11:13:22 | ERROR | stderr | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/site-packages/torch/utils/checkpoint.py:31: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
2024-12-04 11:13:22 | ERROR | stderr |   warnings.warn("None of the inputs have requires_grad=True. Gradients will be None")
2024-12-04 11:13:22 | INFO | stdout | Before NMS: 1 boxes
2024-12-04 11:13:22 | INFO | stdout | After NMS: 1 boxes
2024-12-04 11:13:22 | INFO | stdout | INFO:     10.140.37.163:53036 - "POST /worker_generate HTTP/1.1" 200 OK
2024-12-04 11:13:47 | INFO | /mnt/petrelfs/songmingyang/anaconda3/envs/tool_server/lib/python3.10/os.py | Send heart beat. Models: ['grounding_dino']. Semaphore: Semaphore(value=5, locked=False). global_counter: 1. worker_id: df687c. 
